# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 13038
#
# Samples: 1M of event 'cycles:ppp'
# Event count (approx.): 1673722509155
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     0.00%  lto1-wpa     lto1                    [.] hash_table<hash_map<symtab_node*, unsigned long, default_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash                                   
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_reorder_blocks::execute                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] sd_lists_empty_p                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] decl_binds_to_current_def_p                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] get_value_range                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] flow_bb_inside_loop_p                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] find_base_value                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] df_process_deferred_rescans                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] mostly_copy_tree_r                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] next_program_point                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] get_attr_unit                                                                                                                                              
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] scheduler_tick                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] sbitmap_vector_alloc                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] deletable_insn_p_1                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] free_dominance_info                                                                                                                                        
     0.00%  lto1-wpa     lto1                    [.] bp_unpack_var_len_unsigned                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] memcpy@plt                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] try_ready                                                                                                                                                  
     0.00%  as           as                      [.] integer_constant                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] maybe_add_or_update_dep_1                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] sched_analyze_2                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] change_queue_index                                                                                                                                         
     0.00%  lto1-ltrans  libc-2.23.so            [.] __GI___mempcpy                                                                                                                                             
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] cpu_needs_another_gp                                                                                                                                       
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] read_tsc                                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] verify_changes                                                                                                                                             
     0.00%  lto1-ltrans  libc-2.23.so            [.] _IO_fputs                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] find_uses_to_rename_bb                                                                                                                                     
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] native_sched_clock                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] cse_process_notes_1                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] gimple_can_merge_blocks_p                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] maybe_canonicalize_comparison_1                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] mark_pseudo_regno_live                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] haifa_finish_h_i_d                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] sched_free_deps                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] add_to_deps_list                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] split_critical_edges                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] complete_cost_classes                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] collect_non_operand_hard_regs                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] ira_traverse_loop_tree                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] symtab_node::ultimate_alias_target_1                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] lto_input_scc                                                                                                                                              
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] perf_event_aux.part.46                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] lto_input_variable_constructor                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] get_attribute_name                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] df_lr_init                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] try_crossjump_to_edge                                                                                                                                      
     0.00%  as           as                      [.] S_GET_SEGMENT                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] control_flow_insn_p                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] true_dependence_1                                                                                                                                          
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] try_charge                                                                                                                                                 
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] cpuacct_charge                                                                                                                                             
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] rcu_irq_enter                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] delete_dead_jumptables                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] copy_tree_r                                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] bp_unpack_var_len_unsigned                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] push_cfun                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] get_reaching_def                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] elimination_effects                                                                                                                                        
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] timekeeping_update                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] strip_invariant_refs                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] get_call_reg_set_usage                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] mark_used_regs_combine                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] compact_blocks                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] walk_gimple_op                                                                                                                                             
     0.00%  lto1-ltrans  libc-2.23.so            [.] __fprintf_chk                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] single_def_use_dom_walker::before_dom_children                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] get_inner_reference                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] df_defs_record                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] prologue_epilogue_contains                                                                                                                                 
     0.00%  lto1-ltrans  libc-2.23.so            [.] realloc                                                                                                                                                    
     0.00%  lto1-ltrans  lto1                    [.] expand_gimple_stmt                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] tree_strip_sign_nop_conversions                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] local_cprop_find_used_regs                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] hash_table<hash_map<tree_node*, tree_node*, default_hashmap_traits>::hash_entry, xcallocator, true>::expand                                                
     0.00%  lto1-ltrans  lto1                    [.] walk_non_aliased_vuses                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_initialize_regs::execute                                                                                                       
     0.00%  as           libc-2.23.so            [.] __strncasecmp_l_avx                                                                                                                                        
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] restore_c_regs_and_iret                                                                                                                                    
     0.00%  lto1-wpa     lto1                    [.] output_symtab                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] get_addr                                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] ix86_compute_frame_layout                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] record_value_for_reg                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] build2_stat                                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] insert_regs                                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] is_gimple_invariant_address                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] df_insn_info_delete                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] make_node_stat                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] recog_2                                                                                                                                                    
     0.00%  lto1-ltrans  lto1                    [.] rescan_loop_exit                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] ccp_fold_stmt                                                                                                                                              
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] copy_user_enhanced_fast_string                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] output_constant                                                                                                                                            
     0.00%  ld           libc-2.23.so            [.] __gconv_transform_utf8_internal                                                                                                                            
     0.00%  lto1-wpa     lto1                    [.] ipa_reverse_postorder                                                                                                                                      
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] vma_adjust                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] lra_set_insn_recog_data                                                                                                                                    
     0.00%  lto1-ltrans  lto1                    [.] do_SUBST                                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] recog_172                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] compute_antic                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] schedule_insns                                                                                                                                             
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] run_posix_cpu_timers                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] malloc@plt                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] flow_loops_find                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] alloc_EXPR_LIST                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] hash_table_higher_prime_index                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] gimple_assign_ssa_name_copy_p                                                                                                                              
     0.00%  lto1-wpa     lto1                    [.] ht_lookup                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_expand::execute                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] equiv_constant                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] df_bb_refs_collect                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] volatile_insn_p                                                                                                                                            
     0.00%  lto1-ltrans  libc-2.23.so            [.] _int_realloc                                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] bitmap_intersection_of_preds                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] df_canonize_collection_rec                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] calculate_elim_costs_all_insns                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] ix86_save_reg                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] record_address_regs                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] estimate_num_insns                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] connect_infinite_loops_to_exit                                                                                                                             
     0.00%  lto1-wpa     lto1                    [.] decl_assembler_name                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_peephole2::execute                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] ix86_spill_class                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] dep_cost_1                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] commutative_tree_code                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_uncprop::execute                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] mem_ref_offset                                                                                                                                             
     0.00%  lto1-wpa     lto1                    [.] lto_balanced_map                                                                                                                                           
     0.00%  lto1-wpa     libc-2.23.so            [.] malloc                                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] x86_64_zext_immediate_operand                                                                                                                              
     0.00%  lto1-wpa     lto1                    [.] do_estimate_growth_1                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] cselib_invalidate_mem                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] unchecked_make_edge                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] break_up_subtract_bb                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] streamer_tree_cache_append                                                                                                                                 
     0.00%  lto1-wpa     lto1                    [.] DFS::DFS_write_tree_body                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] analyze_function                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] add_insn                                                                                                                                                   
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] update_fast_timekeeper                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] estimate_numbers_of_iterations_loop                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] fully_constant_vn_reference_p                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] shallow_copy_rtx_stat                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] tree_forwarder_block_p                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] purge_dead_edges                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] fix_bb_live_info                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] scc_visit                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] assemble_integer                                                                                                                                           
     0.00%  lto1-wpa     lto1                    [.] (anonymous namespace)::pass_ipa_reference::execute                                                                                                         
     0.00%  as           as                      [.] i386_att_operand                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] find_comparison_args                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] optimize_bb_for_size_p                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] vrp_visit_stmt                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] update_table_tick                                                                                                                                          
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] ktime_get                                                                                                                                                  
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] policy_zonelist                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] useless_type_conversion_p                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] get_ebb_head_tail                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] set_label_offsets                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] recog                                                                                                                                                      
     0.00%  as           as                      [.] symbol_clone_if_forward_ref                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] simplify_relational_operation                                                                                                                              
     0.00%  lto1-ltrans  [unknown]               [k] 0x0000000000ae5c40                                                                                                                                         
     0.00%  lto1-wpa     lto1                    [.] streamer_alloc_tree                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] sd_add_dep                                                                                                                                                 
     0.00%  lto1-ltrans  [unknown]               [k] 0x000000000061c71d                                                                                                                                         
     0.00%  lto1-wpa     libc-2.23.so            [.] _IO_vfscanf                                                                                                                                                
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] local_apic_timer_interrupt                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] mark_all_reaching_defs_necessary_1                                                                                                                         
     0.00%  as           as                      [.] cpu_flags_match                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] make_ssa_name_fn                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_dwarf2_frame::execute                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] pre_expr_reaches_here_p_work                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] ht_lookup                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] df_lr_local_compute                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] bitmap_clear                                                                                                                                               
     0.00%  lto1-wpa     lto1                    [.] cmp_tree                                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] ao_ref_from_mem                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] allocnos_conflict_by_live_ranges_p                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] streamer_read_hwi                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] is_ctrl_altering_stmt                                                                                                                                      
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] get_mem_cgroup_from_mm                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] reg_class_subset_p                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] remap_gimple_stmt                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] build_object_conflicts                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] get_equiv                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] copy_cost                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] simplify_const_binary_operation                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] df_live_finalize                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] rtx_alloc_stat                                                                                                                                             
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] next_zones_zonelist                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] et_split                                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] fold_unary_loc                                                                                                                                             
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] mem_cgroup_commit_charge                                                                                                                                   
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] timerqueue_del                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] fold_marked_statements                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] update_allocno_pressure_excess_length                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] push_operand                                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] rtx_addr_can_trap_p_1                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] lookup                                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] lra_spill                                                                                                                                                  
     0.00%  lto1-ltrans  libc-2.23.so            [.] _itoa_word                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] tree_node_structure                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] renumber_gimple_stmt_uids                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] true_regnum                                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] dead_debug_local_init                                                                                                                                      
     0.00%  lto1-ltrans  libc-2.23.so            [.] __strchrnul                                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] update_conflict_hard_regno_costs                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] hash_table<hash_map<edge_def*, auto_vec<_edge_var_map, 0ul>, default_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash                       
     0.00%  lto1-ltrans  lto1                    [.] insn_min_length                                                                                                                                            
     0.00%  lto1-wpa     lto1                    [.] (anonymous namespace)::pass_ipa_pure_const::execute                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] decl_address_invariant_p                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] use_killed_between                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] active_insn_p                                                                                                                                              
     0.00%  lto1-wpa     libc-2.23.so            [.] __memcmp_sse4_1                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] get_dominated_to_depth                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] memset@plt                                                                                                                                                 
