# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 13038
#
# Samples: 1M of event 'cycles:ppp'
# Event count (approx.): 1673722509155
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c79e                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] df_ref_equal_p                                                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] post_order_compute                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] ix86_decompose_address                                                                                                                                     
     0.02%  lto1-ltrans  lto1                    [.] process_bb_node_lives                                                                                                                                      
     0.02%  lto1-ltrans  [kernel.vmlinux]        [k] handle_mm_fault                                                                                                                                            
     0.02%  lto1-ltrans  libc-2.23.so            [.] __memset_avx2                                                                                                                                              
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c712                                                                                                                                         
     0.02%  as           as                      [.] hash_lookup.isra.0                                                                                                                                         
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c790                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] bitmap_ior                                                                                                                                                 
     0.02%  lto1-ltrans  lto1                    [.] restrict_cost_classes                                                                                                                                      
     0.02%  lto1-ltrans  lto1                    [.] bitmap_and_compl                                                                                                                                           
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c75a                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] count_reg_usage                                                                                                                                            
     0.02%  lto1-ltrans  lto1                    [.] cselib_lookup                                                                                                                                              
     0.02%  lto1-ltrans  lto1                    [.] cse_main                                                                                                                                                   
     0.02%  lto1-ltrans  lto1                    [.] get_eh_region_and_lp_from_rtx                                                                                                                              
     0.02%  lto1-ltrans  lto1                    [.] calc_dfs_tree_nonrec                                                                                                                                       
     0.02%  lto1-ltrans  libc-2.23.so            [.] __memcpy_avx_unaligned                                                                                                                                     
     0.02%  lto1-ltrans  [kernel.vmlinux]        [k] get_page_from_freelist                                                                                                                                     
     0.02%  lto1-ltrans  libc-2.23.so            [.] free                                                                                                                                                       
     0.02%  lto1-ltrans  lto1                    [.] gimple_call_flags                                                                                                                                          
     0.02%  lto1-ltrans  lto1                    [.] find_unreachable_blocks                                                                                                                                    
     0.02%  lto1-ltrans  [kernel.vmlinux]        [k] _raw_spin_lock                                                                                                                                             
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c788                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_rtl_cprop::execute                                                                                                             
     0.02%  as           as                      [.] resolve_symbol_value                                                                                                                                       
     0.02%  lto1-ltrans  lto1                    [.] df_uses_record                                                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] cselib_process_insn                                                                                                                                        
     0.02%  lto1-ltrans  lto1                    [.] process_alt_operands                                                                                                                                       
     0.02%  ld           libbfd-2.25.1.so        [.] bfd_link_hash_traverse                                                                                                                                     
     0.02%  lto1-ltrans  lto1                    [.] find_used_regs                                                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] reg_scan_mark_refs                                                                                                                                         
     0.02%  lto1-wpa     lto1                    [.] estimate_calls_size_and_time                                                                                                                               
     0.02%  lto1-ltrans  lto1                    [.] hash_rtx_cb                                                                                                                                                
     0.02%  lto1-ltrans  libc-2.23.so            [.] obstack_free                                                                                                                                               
     0.02%  lto1-ltrans  lto1                    [.] get_ref_base_and_extent                                                                                                                                    
     0.02%  lto1-ltrans  lto1                    [.] deletable_insn_p                                                                                                                                           
     0.02%  lto1-ltrans  lto1                    [.] bitmap_and                                                                                                                                                 
     0.02%  lto1-ltrans  lto1                    [.] rewrite_update_dom_walker::before_dom_children                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] lra_inheritance                                                                                                                                            
     0.02%  lto1-ltrans  lto1                    [.] operand_equal_p                                                                                                                                            
     0.01%  lto1-ltrans  lto1                    [.] make_set_regs_unavailable                                                                                                                                  
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] __rmqueue                                                                                                                                                  
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] __do_page_fault                                                                                                                                            
     0.01%  lto1-ltrans  lto1                    [.] cselib_record_sets                                                                                                                                         
     0.01%  ld           libbfd-2.25.1.so        [.] bfd_elf_link_add_symbols                                                                                                                                   
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] unmap_single_vma                                                                                                                                           
     0.01%  as           as                      [.] do_scrub_chars                                                                                                                                             
     0.01%  lto1-ltrans  lto1                    [.] fold_binary_loc                                                                                                                                            
     0.01%  lto1-ltrans  lto1                    [.] mark_jump_label_1                                                                                                                                          
     0.01%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_combine::execute                                                                                                               
     0.01%  lto1-ltrans  lto1                    [.] for_each_inc_dec                                                                                                                                           
     0.01%  lto1-ltrans  lto1                    [.] statistics_fini_pass                                                                                                                                       
     0.01%  lto1-ltrans  lto1                    [.] df_sort_and_compress_refs                                                                                                                                  
     0.01%  lto1-ltrans  [unknown]               [k] 0x000000000061c74e                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] pool_free                                                                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] rtx_cost                                                                                                                                                   
     0.01%  lto1-ltrans  lto1                    [.] df_install_ref                                                                                                                                             
     0.01%  lto1-wpa     lto1                    [.] compare_tree_sccs_1                                                                                                                                        
     0.01%  lto1-wpa     libc-2.23.so            [.] msort_with_tmp.part.0                                                                                                                                      
     0.01%  lto1-ltrans  lto1                    [.] noop_move_p                                                                                                                                                
     0.01%  lto1-ltrans  lto1                    [.] lra_remat                                                                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] walk_tree_1                                                                                                                                                
     0.01%  lto1-ltrans  lto1                    [.] special_function_p                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] equiv_class_lookup_or_add                                                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] copy_rtx_if_shared_1                                                                                                                                       
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] task_tick_fair                                                                                                                                             
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] free_pcppages_bulk                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] df_install_refs                                                                                                                                            
     0.01%  lto1-ltrans  lto1                    [.] DFS                                                                                                                                                        
     0.01%  lto1-ltrans  lto1                    [.] walk_stmt_load_store_addr_ops                                                                                                                              
     0.01%  lto1-ltrans  lto1                    [.] rtx_equal_p                                                                                                                                                
     0.01%  lto1-ltrans  [unknown]               [k] 0x000000000061c708                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] ipa_pta_execute                                                                                                                                            
     0.01%  lto1-ltrans  lto1                    [.] substitute_and_fold_dom_walker::before_dom_children                                                                                                        
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] release_pages                                                                                                                                              
     0.01%  lto1-wpa     libc-2.23.so            [.] _int_malloc                                                                                                                                                
     0.01%  lto1-ltrans  lto1                    [.] bitmap_obstack_alloc_stat                                                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] stmt_could_throw_p                                                                                                                                         
     0.01%  lto1-ltrans  [unknown]               [k] 0x000000000061c784                                                                                                                                         
     0.01%  lto1-ltrans  libc-2.23.so            [.] __memset_sse2                                                                                                                                              
     0.01%  lto1-ltrans  lto1                    [.] canon_reg                                                                                                                                                  
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] account_user_time                                                                                                                                          
     0.01%  lto1-ltrans  lto1                    [.] nonzero_bits1                                                                                                                                              
     0.01%  lto1-ltrans  lto1                    [.] calculate_dominance_info                                                                                                                                   
     0.01%  lto1-ltrans  lto1                    [.] linemap_lookup                                                                                                                                             
     0.01%  lto1-ltrans  libc-2.23.so            [.] vfprintf                                                                                                                                                   
     0.01%  lto1-ltrans  libc-2.23.so            [.] __libc_calloc                                                                                                                                              
     0.01%  lto1-ltrans  lto1                    [.] streamer_read_uhwi                                                                                                                                         
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] rcu_check_callbacks                                                                                                                                        
     0.01%  lto1-ltrans  lto1                    [.] dom_walker::walk                                                                                                                                           
     0.01%  lto1-ltrans  lto1                    [.] optimize_function_for_size_p                                                                                                                               
     0.01%  as           as                      [.] md_assemble                                                                                                                                                
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] perf_event_task_tick                                                                                                                                       
     0.01%  lto1-ltrans  lto1                    [.] record_set                                                                                                                                                 
     0.01%  ld           libc-2.23.so            [.] __memcpy_avx_unaligned                                                                                                                                     
     0.01%  lto1-ltrans  lto1                    [.] set_noop_p                                                                                                                                                 
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] update_wall_time                                                                                                                                           
     0.01%  lto1-wpa     lto1                    [.] ipa_icf::sem_item_optimizer::do_congruence_step_for_index                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] insn_nothrow_p                                                                                                                                             
     0.01%  lto1-ltrans  lto1                    [.] ix86_legitimate_address_p                                                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] delete_unmarked_insns                                                                                                                                      
     0.01%  lto1-ltrans  lto1                    [.] rebuild_jump_labels_1                                                                                                                                      
     0.01%  lto1-ltrans  lto1                    [.] mark_insn                                                                                                                                                  
     0.01%  lto1-ltrans  libc-2.23.so            [.] msort_with_tmp.part.0                                                                                                                                      
     0.01%  lto1-ltrans  lto1                    [.] iterative_hash_host_wide_int                                                                                                                               
     0.01%  lto1-ltrans  [unknown]               [k] 0x000000000061c7a5                                                                                                                                         
     0.01%  lto1-wpa     lto1                    [.] streamer_tree_cache_lookup                                                                                                                                 
     0.01%  lto1-ltrans  lto1                    [.] df_rd_bb_local_compute_process_def                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] refers_to_regno_p                                                                                                                                          
