# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 2536
#
# Samples: 142K of event 'cycles:ppp'
# Event count (approx.): 130516835553
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     0.00%  lto1-ltrans  lto1                    [.] make_constraint_to                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] simplify_immed_subreg                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] may_trap_p                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] forward_propagate_into_comparison_1                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] begin_schedule_ready                                                                                                                                       
     0.00%  lto1-wpa     lto1                    [.] memset@plt                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] mark_reachable_blocks                                                                                                                                      
     0.00%  lto1-wpa     lto1                    [.] get_odr_type                                                                                                                                               
     0.00%  lto1-wpa     lto1                    [.] symtab_node::register_symbol                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] ptr_derefs_may_alias_p                                                                                                                                     
     0.00%  lto1-wpa     lto1                    [.] hash_table<hash_map<int, ipa_node_params*, function_summary<ipa_node_params*>::summary_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash     
     0.00%  lto1-wpa     lto1                    [.] lto_output_decl_state_refs                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] add_pred_graph_edge                                                                                                                                        
     0.00%  lto1-wpa     lto1                    [.] va_gc::reserve<ipa_jump_func, va_gc>                                                                                                                       
     0.00%  lto1-wpa     lto1                    [.] reset_inline_summary                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] df_entry_block_defs_collect                                                                                                                                
     0.00%  lto1-wpa     lto1                    [.] cgraph_node::create_clone                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] vec<rtx_insn*, va_heap, vl_ptr>::reserve                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] create_tmp_var_name                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_cleanup_eh::execute                                                                                                            
     0.00%  ld           libc-2.23.so            [.] __strchr_sse2                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] df_md_confluence_n                                                                                                                                         
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] generic_perform_write                                                                                                                                      
     0.00%  lto1-wpa     [unknown]               [k] 0x00000000008174dd                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] scan_insn_after                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] df_set_flags                                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] new_graph                                                                                                                                                  
     0.00%  lto1-wpa     lto1                    [.] record_common_node                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] cgraph_node::assemble_thunks_and_aliases                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] gimplify_expr                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] tree_int_cst_equal                                                                                                                                         
     0.00%  lto1-wpa     lto1                    [.] htab_find_slot_with_hash                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] new_ready                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] estimate_bb_frequencies                                                                                                                                    
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] jbd2__journal_start                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] simple_iv_increment_p                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] set_used_decls                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] loop_optimizer_init                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] add_noreturn_fake_exit_edges                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] ldst_entry                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] ix86_function_specific_restore                                                                                                                             
     0.00%  lto1-wpa     lto1                    [.] initialize_inline_failed                                                                                                                                   
     0.00%  as           [kernel.vmlinux]        [k] _raw_spin_lock                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] visit_op                                                                                                                                                   
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] hrtimer_forward                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] ix86_secondary_memory_needed                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_strip_predict_hints::execute                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] wi::divmod_internal                                                                                                                                        
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] __page_set_anon_rmap                                                                                                                                       
     0.00%  as           libc-2.23.so            [.] __strcmp_sse2                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] get_attr_length_1                                                                                                                                          
     0.00%  lto-wrapper  [kernel.vmlinux]        [k] copy_page_to_iter                                                                                                                                          
     0.00%  lto1-wpa     lto1                    [.] lto_output                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] emit_pattern_after_noloc                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] integer_all_onesp                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] add_insn_after                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] redirect_edge_var_map_add                                                                                                                                  
     0.00%  lto1-ltrans  [unknown]               [k] 0x000000000061aeff                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] delete_insn_chain                                                                                                                                          
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] trigger_load_balance                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] df_maybe_reorganize_use_refs                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] cleanup_dead_labels                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] ix86_register_move_cost                                                                                                                                    
     0.00%  lto1-ltrans  lto1                    [.] operands_match_p                                                                                                                                           
     0.00%  lto1-wpa     lto1                    [.] hash_table<hash_map<symtab_node*, ipa_icf::sem_item*, default_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash                              
     0.00%  lto1-ltrans  lto1                    [.] find_what_p_points_to                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] df_ref_ptr_compare                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] constant_call_address_operand                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] copy_tree_body_r                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] wi::add<generic_wide_int<wide_int_storage>, int>                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] create_preheaders                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] remove_temporary_equivalences                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] possible_polymorphic_call_targets                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] simplify_stmt_for_jump_threading                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] substitute_and_fold                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] gimple_assign_rhs_code                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] sched_analyze                                                                                                                                              
     0.00%  lto1-wpa     [unknown]               [k] 0x00007f9470b47a5a                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] state_reset                                                                                                                                                
     0.00%  ld           [unknown]               [k] 0x00007f14d780e106                                                                                                                                         
     0.00%  lto1-wpa     lto1                    [.] ipa_icf::sem_item::add_reference                                                                                                                           
     0.00%  lto1-wpa     lto1                    [.] symbol_table::insert_to_assembler_name_hash                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] string_for_index                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] lra_former_scratch_p                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] get_loop_exit_edges                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] staticp                                                                                                                                                    
     0.00%  lto1-wpa     lto1                    [.] lto_symtab_encoder_in_partition_p                                                                                                                          
     0.00%  ld           [unknown]               [k] 0x00007f14d7832aa8                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] simplify_rtx                                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] bucket_allocno_compare_func                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] emit_note_before                                                                                                                                           
     0.00%  as           as                      [.] as_where                                                                                                                                                   
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] filemap_map_pages                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] maybe_optimize_range_tests                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] stmt_can_make_abnormal_goto                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] decl_assembler_name                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] cgraph_edge::set_call_stmt                                                                                                                                 
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] kmem_cache_alloc                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] hash_table<polymorphic_call_target_hasher, xcallocator, false>::find_slot_with_hash                                                                        
     0.00%  lto1-ltrans  lto1                    [.] check_asm_operands                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] redirect_edge_and_branch                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] va_gc::reserve<dw_cfi_node*, va_gc>                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] redirect_eh_edge_1                                                                                                                                         
     0.00%  as           as                      [.] S_FORCE_RELOC                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] gcc::dump_manager::get_dump_file_name                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] bitmap_obstack_initialize                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] get_constraint_for_address_of                                                                                                                              
     0.00%  lto1-ltrans  [unknown]               [k] 0x000000000061aaaf                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] release_phi_node                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] can_schedule_ready_p                                                                                                                                       
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] free_pcppages_bulk                                                                                                                                         
     0.00%  lto1-ltrans  [unknown]               [k] 0x000000000061aa2f                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] input_edge                                                                                                                                                 
     0.00%  lto1-wpa     lto1                    [.] tree_code_size                                                                                                                                             
     0.00%  lto1-wpa     lto1                    [.] streamer_tree_cache_create                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] dwarf2out_flush_queued_reg_saves                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] gt_ggc_mx                                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] update_dep_bb                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] gimple_block_label                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] lra_set_used_insn_alternative                                                                                                                              
     0.00%  lto1-ltrans  libc-2.23.so            [.] @plt                                                                                                                                                       
     0.00%  lto1-wpa     lto1                    [.] ipa_ref::remove_reference                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] cfg_layout_redirect_edge_and_branch                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] thread_block_1                                                                                                                                             
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] prepare_exit_to_usermode                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] flush_pending_lists                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] preprocess_constraints                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] constraint_less                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] x86_64_general_operand                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] maybe_record_trace_start                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] haifa_init_h_i_d                                                                                                                                           
     0.00%  lto1-ltrans  [unknown]               [k] 0x0000000000697ab0                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] gcc::dump_manager::dump_start                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] walk_aliased_vdefs                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] invariantness_dom_walker::before_dom_children                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] build_and_record_new_cond                                                                                                                                  
     0.00%  lto1-ltrans  lto1                    [.] suitable_cond_bb                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] strcmp@plt                                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] target_default_pointer_address_modes_p                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] vn_nary_op_lookup_1                                                                                                                                        
     0.00%  lto1-ltrans  [unknown]               [k] 0x0000000000875478                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] fold_ternary_loc                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] ready_sort                                                                                                                                                 
     0.00%  lto1-wpa     lto1                    [.] types_same_for_odr                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] cand_trans_fun                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] operand_less_p                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] hash_table<hash_map<gimple_statement_base*, slsr_cand_d*, default_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash                          
     0.00%  lto1-ltrans  lto1                    [.] perform_replacements_new_cycle                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] decompose_mem_address                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] linemap_expand_location                                                                                                                                    
     0.00%  lto1-ltrans  lto1                    [.] fold_read_from_constant_string                                                                                                                             
     0.00%  lto1-ltrans  [unknown]               [k] 0x000000000061abe0                                                                                                                                         
     0.00%  lto1-ltrans  [kernel.vmlinux]        [k] x86_pmu_disable                                                                                                                                            
     0.00%  lto1-ltrans  lto1                    [.] ix86_comparison_operator                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] force_nonfallthru_and_redirect                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] redirect_edge_succ_nodup                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] symbol_table::compile                                                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] virtual_method_call_p                                                                                                                                      
     0.00%  ld           libbfd-2.25.1.so        [.] bfd_hash_traverse                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] gimple_histogram_value                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] types_same_for_odr                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] df_mw_hardreg_chain_delete                                                                                                                                 
     0.00%  lto1-ltrans  lto1                    [.] init_lim_data                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] remove_edge                                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] ira_get_dup_out_num                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] rewrite_into_loop_closed_ssa                                                                                                                               
     0.00%  lto1-ltrans  lto1                    [.] pre_expr_d::equal                                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] get_nonzero_bits                                                                                                                                           
     0.00%  ld           libbfd-2.25.1.so        [.] fix_syms                                                                                                                                                   
     0.00%  ld           libc-2.23.so            [.] _IO_file_xsputn@@GLIBC_2.2.5                                                                                                                               
     0.00%  ld           libc-2.23.so            [.] __GI___mempcpy                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] cgraph_node::get_untransformed_body                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] cfg_layout_can_merge_blocks_p                                                                                                                              
     0.00%  lto1-wpa     lto1                    [.] select_what_to_stream                                                                                                                                      
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] __alloc_pages_nodemask                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] find_common_loop                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] get_bitmap_index                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] gt_ggc_mx_dw_cfi_node                                                                                                                                      
     0.00%  lto1-wpa     lto1                    [.] do_estimate_edge_time                                                                                                                                      
     0.00%  lto1-ltrans  [kvm]                   [k] pvclock_gtod_notify                                                                                                                                        
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] __mod_zone_page_state                                                                                                                                      
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] find_vma                                                                                                                                                   
     0.00%  lto1-wpa     lto1                    [.] wide_int_to_tree                                                                                                                                           
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] __ext4_journal_stop                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] start_recording_case_labels                                                                                                                                
     0.00%  lto1-ltrans  lto1                    [.] ira_free_allocno_costs                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] finish_eh_generation                                                                                                                                       
     0.00%  ld           ld                      [.] get_symbols                                                                                                                                                
     0.00%  lto1-wpa     lto1                    [.] cl_optimization_restore                                                                                                                                    
     0.00%  lto1-ltrans  lto1                    [.] gen_int_mode                                                                                                                                               
     0.00%  lto1-wpa     lto1                    [.] simple_edge_hints                                                                                                                                          
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] __ext4_journal_start_sb                                                                                                                                    
     0.00%  lto1-wpa     [unknown]               [k] 0x00007f9470c16a4e                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] wi::lts_p<generic_wide_int<wi::extended_tree<192> >, generic_wide_int<wi::extended_tree<192> > >                                                           
     0.00%  lto1-ltrans  lto1                    [.] fprint_ul                                                                                                                                                  
     0.00%  as           [kernel.vmlinux]        [k] unmap_single_vma                                                                                                                                           
     0.00%  lto1-ltrans  lto1                    [.] add_new_name_mapping                                                                                                                                       
     0.00%  lto1-ltrans  [unknown]               [k] 0x000000000061ac66                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] gimple_get_virt_method_for_vtable                                                                                                                          
     0.00%  lto1-ltrans  lto1                    [.] ix86_adjust_priority                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] replace_oldest_value_reg                                                                                                                                   
     0.00%  lto1-ltrans  lto1                    [.] fixup_abnormal_edges                                                                                                                                       
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] vmacache_find                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] hash_table<cselib_hasher, xcallocator, false>::expand                                                                                                      
     0.00%  lto1-ltrans  lto1                    [.] cgraph_edge::clone                                                                                                                                         
     0.00%  lto1-ltrans  lto1                    [.] satisfies_constraint_Z                                                                                                                                     
     0.00%  lto1-ltrans  lto1                    [.] operation_could_trap_helper_p                                                                                                                              
     0.00%  g++          [kernel.vmlinux]        [k] __wake_up_bit                                                                                                                                              
     0.00%  lto1-ltrans  lto1                    [.] ready_remove_first                                                                                                                                         
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] __page_set_anon_rmap                                                                                                                                       
     0.00%  lto1-ltrans  lto1                    [.] ix86_avoid_lea_for_addr                                                                                                                                    
     0.00%  lto1-wpa     lto1                    [.] va_gc::reserve<tree_node*, va_gc>                                                                                                                          
     0.00%  lto1-wpa     [kernel.vmlinux]        [k] __d_lookup_rcu                                                                                                                                             
     0.00%  lto1-ltrans  lto1                    [.] pseudo_compare_func                                                                                                                                        
     0.00%  lto1-ltrans  lto1                    [.] tree_block                                                                                                                                                 
     0.00%  as           as                      [.] i386_finalize_displacement.isra.11                                                                                                                         
